album,released,name,text
"Apriti Sesamo
      ",2012,Testamento,"Lascio agli eredi l'imparzialità, la volontà di crescere e capire Uno sguardo feroce e indulgente, per non offendere inutilmente Lascio i miei esercizi sulla respirazione Cristo nei Vangeli parla di reincarnazione Lascio agli amici gli anni felici, delle più audaci riflessioni La libertà reciproca di non avere legami ... e mi piaceva tutto della mia vita mortale Anche l'odore che davano gli asparagi all'urina We never died We were never born! Il tempo perduto chissà perchè, non si fa mai riprendere I linguaggi urbani si intrecciano e si confondono nel quotidiano ""Fatti non foste per viver come bruti, ma per seguire virtude e conoscenza""... L'idea del visibile alletta, la mia speranza aspetta Appese a rami spogli, gocce di pioggia si staccano con lentezza, mentre una gazza, in cima ad un cipresso, guarda Peccato che io non sappia volare, ma le oscure cadute nel buio Mi hanno insegnato a risalire E mi piaceva tutto della mia vita mortale, noi non siamo mai morti, e non siamo mai nati We never died We were never borne!"
"Fleurs 2
      ",2008,Il venait d'avoir 18 ans,"Il venait d'avoir dix-huit ans Il était beau comme un enfant Fort comme un homme C'était l'été évidemment Et elle compté en le voyant Ses nuits d'automne Elle mit de l'ordre a ses cheveux Un peu plus de noir sur ses yeux ça l'a fait rire Quand il s'est approché de lui Aurait donné n'importe quoi Pour le seduire Il venait d'avoir dix-huit ans C'était le plus bel argument De sa victoire Il ne parlait jamais d'amour Il pensait que les mots d'amour Son dérisoires Il lui disait: ""j'ai envie de toi"" Il avait vu au cinema ""le blé en herbe"" Au creux d'un lit improvisé Elle decouvrit émerveillée Un ciel superbe Il venait d'avoir dix-huit ans ça le rendait presque insolent de certitude Et pendant qu'il se rhabillait Deja vaincue, elle retrouvait sa solitude Aurait voulu le retenir Pourtant elle le laissé partir Sans faire un geste Il a dit: ""c'était pas si mal"" Avec la candeur infernale De sa jeunesse Il venait d'avoir dix-huit ans Il était beau comme un enfant Fort comme homme Aurait voulu le retenir Pourtant elle le laissé partir Sans faire un geste"
"Giubbe Rosse
      ",1989,Cuccurucucù,"[Ritornello] Cuccurucucù paloma Ahiaiaiaiai cantava Cuccurucucucucu-u-uh paloma Ahiaiaiaiaiaiaiai cantava [Strofa 1] Le serenate all'istituto magistrale Nell'ora di ginnastica o di religione Per carnevale suonavo sopra i carri in maschera Avevo già la Luna e Urano nel Leone [Pre ritornello 1] Il mare nel cassetto, le mille bolle blu Da quando sei andata via non esisto più Il mondo è grigio, il mondo è blu [Ritornello] Cuccurucucù paloma Ahiaiaiaiai cantava Cuccurucucucucu-u-uh paloma Ahiaiaiaiaiaiaiai cantava [Strofa 2] L'ira funesta dei profughi afghani Che dal confine si spostarono nell'Iran Cantami o diva dei pellerossa americani Le gesta erotiche di Squaw Pelle di Luna [Pre ritornello 2] Le penne stilografiche con l'inchiostro blu La barba col rasoio elettrico non la faccio più Il mondo è grigio, il mondo è blu [Ritornello] Cuccurucucù paloma Ahiaiaiaiai cantava Cuccurucucucucu-u-uh paloma Ahiaiaiaiaiaiaiai cantava [Bridge] Lady Madonna I can try With a little help from my friends Oh, goodbye Ruby Tuesday Come on baby let's twist again Once upon a time you dressed so fine, Mary Like just a woman Like a rolling stone [Ritornello] Cuccurucucù paloma Ahiaiaiaiai cantava Cuccurucucucucu-u-uh paloma Ahiaiaiaiaiaiaiai cantava [Outro: Franco Battiato e Coro] Lady Madonna I can try With a little help from my friends Oh, goodbye Ruby Tuesday Come on baby let's twist again Once upon a time you dressed so fine, Mary Like just a woman Like a rolling stone"
"Genesi
      ",1987,Introduzione III Atto,[Strumentale]
"Orizzonti Perduti
      ",1983,Campane tibetane,"Suoni lunghi di campane tibetane a valle Svegliavano al mattino i falegnami del paese; Temporali estivi con lenzuola appese Nell'aria qualche cosa si fermò E le crociere sul Tirreno Le gite lungo i fiumi Con i castagni in fiore Le rondini in primavera Intorno intorno ai campanili Dalle terrazze a mare E nei trimestri di scuola Nei mobili stile impero: tornerò ritornerò Nei soggiorni tavolini in radica di noce E canterani con i marmi dalle venature grigie Le bronchiti coi vapori e il Vicks Vaporoub Nell'aria qualche cosa si fermò Le scampagnate alle cascine, dei circoli ricreativi Partite nell'oratorio, attraversando la via Emilia Marinavamo la scuola, correndo dietro alle farfalle Entrando in punta di piedi Letti di ottone a baldacchino: non scorderò"
"Apriti Sesamo
      ",2012,La polvere del branco,"Do you know Tulku Urgyen? Have you ever heard of this? Do you know the Seekers of te Truth? Have you ever heard of this? Ci crediamo liberi, ma siamo prigionieri, di case invadenti che ci abitano e ci rendono impotenti Ci crediamo liberi, ma siamo prigionieri che remano su navi inesistenti Si solleva la polvere del branco accanita e misteriosa Ci crediamo liberi, ma siamo schiavi, milioni di milioni di ombre sperdute Rumorosi andiamo per le strade alzando solo polvere Millions of shadows walking into nothingness Ti dico che nulla mi inquieta, ma tu mi dai sui nervi Ho voglia di appartarmi e di seguire la mia sorte, perchè morire è come un sogno Pura, Inaccessibile, Avvolta in una Eterna Ombra solitaria Oscurità Impenetrabile, Intensa, Impervia, Immensa... Ha dato vita agli Dei, nessun uomo ha mai sollevato il suo Velo .... millions and millions of shadows"
"Gommalacca
      ",1998,Quello che fu,Ah! Questo passato Dove il mio rifugio presso di te Fu quello che fu Dove la polvere più pura sulla tua soglia Fu quella che fu Duri come pietre Come due amici eravamo insieme Preso del tuo cuore Ho detto che il nostro legame Fu quello che fu Irragionevole Non ci poteva niente Non potevo immaginarmi senza La follia Fu quella che fu Fu quella che fu L'impero delle parole La distinzione tra bene e male La ripida discesa dal cielo alla terra Disperata Verso l'incarcerazione Fu quello che fu La circumnavigazione I nomi che si diedero alle cose La gioia e il dolore dell'esistere L'enigma del consenso Le emozionali imprese della specie Fu quello che fu Tutto fu quello che fu Quel che deve ancora avvenire Il sorgere della città di Dio L'emblema che ci fa forti e sicuri Oppure pazzi e disperati Ti gridavo: sono disperso Disperso
"Echoes of Sufi Dances
      ",1985,Centro de gravedad,"Una vieja de Madrid con un sombrero Un paraguas de papel de arroz y caña de bambú Capitanes valerosos, listos contrabandistas noctámbulos Jesuitas en acción, vestidos como unos bonzos En antiguas cortes con emperadores de la dinastía Ming Busco un centro de gravedad permanente Que no varíe lo que ahora pienso de las cosas de la gente Yo necesito Cerco un centro di gravità permanente Che non mi faccia mai cambiare idea sulle cose sulla gente Over and over again En las calles era Mayo y caminábamos juntos Contando entre bromas manojos de ortigas No soporto ciertas modas La falsa mùsica rock, la new wave espanola El free jazz, punkie inglés, ni la monserga africana Busco un centro de gravedad permanente Que no varìe lo que ahora pienso de las cosas, de la gente Yo necesito Cerco un centro di gravità permanente Che non mi faccia mai cambiare idea sulle cose, sulla gente Over and over again"
"Orizzonti Perduti
      ",1983,Mal d'Africa,"Dopo pranzo si andava a riposare Cullati dalle zanzariere e dai rumori di cucina; Dalle finestre un po' socchiuse spiragli contro il soffitto E qualche cosa di astratto si impossessava di me Sentivo parlare piano per non disturbare Ed era come un mal d'Africa, mal d'Africa Saturday night I'm a dreamer I can't live without you On my own lies a photograph Please come back and stand by me Con le sedie seduti per la strada Pantaloncini e canottiere, col caldo che faceva Da una finestra di ringhiera mio padre si pettinava; L'odore di brillantina si impossessava di me Piacere di stare insieme solo per criticare Ed era come un mal d'Africa, mal d'Africa Saturday night I'm a dreamer I can't live without you On my own lies a photograph Please come back and stand by me Da una finestra di ringhiera mio padre si pettinava; L'odore di brillantina si impossessava di me Piacere di stare insieme solo per criticare Ed era come un mal d'Africa, mal d'Africa"
"Genesi
      ",1987,Simon Petra,"[Parlato - Baritono] To aphtò nin ide ke en bio 28 nin ikossìou ke theophòrou patròs imòn Simonos tu miroblitu, tu ktìtoros tis en to ‘Atho ierìs ke sebasmīas monīs tis eponomazomènis Simonos Pètras Simon iperbàs asteroskòpon thèan, tin Bithleèm parìke pròs pòlon theòn Ikade de òti bìon to ierò igròn pòsimon Tes tu ossìu agìes presbìes ke ton ti aftì imèra eortazomèon agìon Christè o Theòs elèisson ke sòsson imàs Amin [Cantato - Coro] Simon Petra Tu Pètru tu korifèu imon"
"Gilgamesh
      ",1992,Primo Viaggio,[Strumentale]
